PULocationID,zero_vehicle_rate
2,0.03376397130318234
3,0.10568700650894178
4,0.8523179540400009
5,0.009810440252834503
6,0.04062062735071572
7,0.5539181298153663
8,0.3075924832169968
9,0.02436782337539637
10,0.07993158665585878
11,0.21816452226762362
12,0.8246537899334792
13,0.6614315651818398
14,0.019436646896999657
15,0.05055688870843943
16,0.021209008305703093
17,0.5167646330820691
18,0.6036256966365954
19,0.0699881845115352
20,0.8490093974513577
21,0.21100049475668628
22,0.2809207747009591
23,0.014255136987998001
24,0.6795948887904022
25,0.6418218863735663
26,0.3792816784090758
27,0.29284098544038073
28,0.09297495295571093
29,0.4075176018475042
30,0.033763654419066536
31,0.9999150268511202
32,0.25338826795803365
33,0.5568895554208328
34,0.591379070107551
35,0.5586316387256607
36,0.6310622727209356
37,0.583246080231494
38,0.04003873344270706
39,0.15328281515880648
40,0.4895549010682653
41,0.6002805460357584
42,0.6900459436837186
43,0.6584191355076667
44,0.058547045644331455
45,0.701992832843263
46,0.10545998504113688
47,0.38432395425947835
48,0.8375717790476431
49,0.5613894834543802
50,0.825968098887004
51,0.08144815416962577
52,0.43267475253204724
53,0.08244003345513416
54,0.3403338252297709
55,0.1397946795672657
56,0.4931436260370278
57,0.5541210186539358
58,0.02756234595671612
59,0.42791182433797115
60,0.48700451326826455
61,0.5925135898091928
62,0.45465455279347594
63,0.261574071041852
64,0.008793906528106563
65,0.735389284089904
66,0.5999109649095015
67,0.062295051834149025
68,0.7841533137000756
69,0.6155931014346856
70,0.17973964721289837
71,0.16204995224885213
72,0.2334028368351823
73,0.05699412157179568
74,0.6758429566972964
75,0.8100398968470193
76,0.4527838195227121
77,0.5054727159407624
78,0.5538360679338901
79,0.8028849908705785
80,0.6295404292449436
81,0.14167883175618393
82,0.42324344958028653
83,0.3377016963959161
84,0.0019315919420573768
85,0.478735398227771
86,0.11006927788545146
87,0.8623937588853932
88,0.7916259384225248
89,0.39220752776282086
90,0.726145564689495
91,0.05492546020727599
92,0.14660342563131312
93,0.15993843275408393
94,0.7154305489427999
95,0.01776973004410034
96,2.4672953258046704e-05
97,0.561460903747882
98,0.0435713292716035
99,0.00019310795446007638
100,0.5429164873320065
101,0.046430054596227614
102,0.0991396897067735
103,0.7212
104,0.7212
105,0.7212
106,0.47755337870429965
