GEOID,total_households,zero_vehicle_households,car_ownership_rate
1400000US36005020000,1657,543,0.3277006638503319
1400000US36005020100,896,615,0.6863839285714286
1400000US36005020200,1137,564,0.49604221635883905
1400000US36005020400,1071,543,0.5070028011204482
1400000US36005020501,2319,1397,0.6024148339801638
1400000US36005020502,882,578,0.655328798185941
1400000US36005020601,1317,375,0.2847380410022779
1400000US36005020900,1863,1345,0.7219538378958669
1400000US36005021001,2816,1991,0.70703125
1400000US36005021002,3297,1800,0.545950864422202
1400000US36005021100,2087,1072,0.5136559655007187
1400000US36005021200,2152,1339,0.6222118959107806
1400000US36005021301,365,178,0.4876712328767123
1400000US36005021302,2178,1053,0.4834710743801653
1400000US36005021501,1863,982,0.5271068169618894
1400000US36005021502,1547,1202,0.7769877181641888
1400000US36005021601,1838,1107,0.6022850924918389
1400000US36005021602,2539,1807,0.7116975187081528
1400000US36005021700,1939,1560,0.8045384218669417
1400000US36005021800,2803,1719,0.6132714948269711
1400000US36005021900,657,560,0.852359208523592
1400000US36005022000,400,193,0.4825
1400000US36005022101,1291,866,0.6707978311386522
1400000US36005022102,1841,1328,0.7213470939706681
1400000US36005022200,1354,687,0.5073855243722304
1400000US36005022300,2272,1837,0.8085387323943662
1400000US36005022401,888,496,0.5585585585585585
1400000US36005022403,1375,645,0.4690909090909091
1400000US36005022404,2049,1051,0.5129331381161543
1400000US36005022500,2583,1779,0.6887340301974448
1400000US36005022701,2076,1494,0.7196531791907514
1400000US36005022702,462,297,0.6428571428571429
1400000US36005022703,635,516,0.8125984251968504
1400000US36005022800,3060,1319,0.43104575163398695
1400000US36005022901,2252,1661,0.7375666074600356
1400000US36005022902,1812,1122,0.6192052980132451
1400000US36005023000,1157,435,0.3759723422644771
1400000US36005023100,504,312,0.6190476190476191
1400000US36005023200,1005,356,0.354228855721393
1400000US36005023301,1316,976,0.7416413373860182
1400000US36005023302,1524,992,0.6509186351706037
1400000US36005023501,1356,817,0.6025073746312685
1400000US36005023502,1851,1327,0.7169097784981091
1400000US36005023600,799,420,0.5256570713391739
1400000US36005023702,362,179,0.494475138121547
1400000US36005023703,1188,853,0.718013468013468
1400000US36005023704,1232,829,0.6728896103896104
1400000US36005023800,1075,378,0.3516279069767442
1400000US36005023900,3415,2129,0.6234260614934114
1400000US36005024000,1868,578,0.3094218415417559
1400000US36005024100,1864,1493,0.8009656652360515
1400000US36005024300,1485,925,0.622895622895623
1400000US36005024400,1057,241,0.228003784295175
1400000US36005024501,2147,980,0.4564508616674429
1400000US36005024502,1936,738,0.381198347107438
1400000US36005024600,910,162,0.17802197802197803
1400000US36005024700,849,533,0.6277974087161367
1400000US36005024800,1681,450,0.2676977989292088
1400000US36005025000,1132,412,0.36395759717314485
1400000US36005025100,2676,1527,0.570627802690583
1400000US36005025200,1253,177,0.1412609736632083
1400000US36005025300,2068,1548,0.7485493230174082
1400000US36005025400,1120,267,0.23839285714285716
1400000US36005025500,2586,1840,0.711523588553751
1400000US36005025600,766,147,0.1919060052219321
1400000US36005025700,565,270,0.4778761061946903
1400000US36005026100,862,376,0.4361948955916473
1400000US36005026300,2261,1480,0.6545776205218929
1400000US36005026400,2604,554,0.21274961597542244
1400000US36005026500,3037,1306,0.4300296345077379
1400000US36005026601,1444,512,0.3545706371191136
1400000US36005026602,2551,862,0.33790670325362604
1400000US36005026701,1377,1024,0.7436456063907044
1400000US36005026702,2836,1154,0.40691114245416077
1400000US36005026900,1500,968,0.6453333333333333
1400000US36005027300,3100,2113,0.6816129032258065
1400000US36005027401,2586,152,0.05877803557617943
1400000US36005027402,1708,36,0.02107728337236534
1400000US36005027600,95,0,0.0
1400000US36005027700,2019,1489,0.7374938088162457
1400000US36005027900,3797,1993,0.5248880695285751
1400000US36005028100,1353,715,0.5284552845528455
1400000US36005028300,492,312,0.6341463414634146
1400000US36005028500,1922,672,0.34963579604578565
1400000US36005028600,604,63,0.10430463576158941
1400000US36005028700,1529,596,0.3897972531066056
1400000US36005028800,1334,122,0.09145427286356822
1400000US36005028900,2260,1485,0.6570796460176991
1400000US36005029301,872,112,0.12844036697247707
1400000US36005029302,2420,443,0.18305785123966942
1400000US36005029500,2535,901,0.3554240631163708
1400000US36005029600,975,534,0.5476923076923077
1400000US36005029700,1435,318,0.221602787456446
1400000US36005030000,3309,594,0.17951042611060744
1400000US36005030100,559,120,0.2146690518783542
1400000US36005030201,1914,882,0.4608150470219436
1400000US36005030202,2838,1040,0.3664552501761804
1400000US36005030701,2383,236,0.0990348300461603
1400000US36005030900,1097,124,0.11303555150410209
1400000US36005031000,2084,140,0.0671785028790787
1400000US36005031200,632,123,0.19462025316455697
1400000US36005031400,897,180,0.20066889632107024
1400000US36005031600,640,182,0.284375
1400000US36005031800,783,32,0.04086845466155811
1400000US36005032300,2030,580,0.2857142857142857
1400000US36005032400,996,471,0.47289156626506024
1400000US36005032600,1466,321,0.2189631650750341
1400000US36005032800,1660,1017,0.6126506024096385
1400000US36005033000,1805,665,0.3684210526315789
1400000US36005033201,1550,777,0.5012903225806452
1400000US36005033202,1283,664,0.5175370226032736
1400000US36005033400,12,12,1.0
1400000US36005033500,864,218,0.2523148148148148
1400000US36005033601,1360,1110,0.8161764705882353
1400000US36005033602,552,45,0.08152173913043478
1400000US36005033700,1076,83,0.07713754646840149
1400000US36005033801,809,302,0.37330037082818296
1400000US36005033802,705,452,0.6411347517730497
1400000US36005034000,2166,1019,0.47045244690674054
1400000US36005034200,792,97,0.12247474747474747
1400000US36005034300,596,169,0.2835570469798658
1400000US36005034400,815,208,0.2552147239263804
1400000US36005034500,1860,493,0.26505376344086023
1400000US36005034800,2362,542,0.22946655376799321
1400000US36005035000,996,247,0.24799196787148595
1400000US36005035100,1554,440,0.28314028314028317
1400000US36005035600,947,119,0.12565997888067582
1400000US36005035800,3060,175,0.05718954248366013
1400000US36005035900,1275,894,0.7011764705882353
1400000US36005036000,1119,167,0.14924039320822163
1400000US36005036100,1513,1132,0.7481824190350297
1400000US36005036300,1865,1129,0.6053619302949061
1400000US36005036400,940,249,0.2648936170212766
1400000US36005036501,1535,938,0.6110749185667752
1400000US36005036502,779,260,0.3337612323491656
1400000US36005036700,833,417,0.5006002400960384
1400000US36005036800,573,106,0.1849912739965096
1400000US36005036901,478,309,0.6464435146443515
1400000US36005036902,719,393,0.5465924895688457
1400000US36005037000,1048,301,0.2872137404580153
1400000US36005037100,1344,774,0.5758928571428571
1400000US36005037200,1019,409,0.4013738959764475
1400000US36005037300,1896,1297,0.6840717299578059
1400000US36005037400,1308,670,0.5122324159021406
1400000US36005037504,1467,754,0.5139740967961827
1400000US36005037600,756,275,0.3637566137566138
1400000US36005037800,1266,409,0.32306477093206953
1400000US36005037900,2351,1346,0.5725223309230115
1400000US36005038000,1947,954,0.4899845916795069
1400000US36005038100,2544,1660,0.6525157232704403
1400000US36005038200,1268,340,0.26813880126182965
1400000US36005038301,1928,1151,0.5969917012448133
1400000US36005038303,1534,1040,0.6779661016949152
1400000US36005038304,661,535,0.8093797276853253
1400000US36005038500,960,534,0.55625
1400000US36005038600,2762,781,0.2827661115133961
1400000US36005038700,1798,1370,0.7619577308120133
1400000US36005038800,1038,211,0.20327552986512523
1400000US36005038900,2488,1653,0.6643890675241158
1400000US36005039000,1188,301,0.25336700336700335
1400000US36005039100,3202,1327,0.4144284821986259
1400000US36005039200,685,181,0.26423357664233577
1400000US36005039300,2896,1894,0.6540055248618785
1400000US36005039400,1722,1061,0.616144018583043
1400000US36005039500,1461,950,0.6502395619438741
1400000US36005039600,1507,748,0.49635036496350365
1400000US36005039700,335,284,0.8477611940298507
1400000US36005039800,1106,42,0.0379746835443038
1400000US36005039901,1978,1240,0.6268958543983822
1400000US36005039902,1817,1220,0.6714364336818932
1400000US36005040100,1639,948,0.5784014643075046
1400000US36005040302,1414,956,0.6760961810466761
1400000US36005040303,1600,1087,0.679375
1400000US36005040304,1347,833,0.6184112843355605
1400000US36005040400,1339,363,0.2710978342046303
1400000US36005040501,1243,961,0.7731295253419147
1400000US36005040502,2423,1147,0.4733801073049938
1400000US36005040600,1687,573,0.3396561944279787
1400000US36005040701,1103,696,0.6310063463281959
1400000US36005040702,2308,1631,0.7066724436741768
1400000US36005040800,1721,585,0.3399186519465427
1400000US36005040900,1480,603,0.40743243243243243
1400000US36005041100,1463,1021,0.6978810663021189
1400000US36005041300,3354,1801,0.5369707811568276
1400000US36005041400,2568,473,0.18419003115264798
1400000US36005041500,2104,1436,0.6825095057034221
1400000US36005041800,1722,907,0.5267131242740999
1400000US36005041900,3123,1713,0.5485110470701249
1400000US36005042000,1401,694,0.4953604568165596
1400000US36005042100,2771,1527,0.5510645976181884
1400000US36005042200,1533,389,0.253750815394651
1400000US36005042300,1619,1026,0.6337245213094502
1400000US36005042400,851,70,0.08225616921269095
1400000US36005042500,2596,1148,0.4422187981510015
1400000US36005042600,2949,498,0.1688708036622584
1400000US36005042800,1252,54,0.04313099041533546
1400000US36005042901,1567,773,0.49329929802169753
1400000US36005042902,1410,971,0.6886524822695036
1400000US36005043000,1299,290,0.22324865280985373
1400000US36005043101,1863,1317,0.7069243156199678
1400000US36005043102,1768,860,0.48642533936651583
1400000US36005043400,2087,516,0.24724484906564448
1400000US36005043501,381,217,0.5695538057742782
1400000US36005043600,977,212,0.21699078812691913
1400000US36005044200,1223,280,0.22894521668029436
1400000US36005044400,1727,0,0.0
1400000US36005044800,1134,264,0.2328042328042328
1400000US36005044901,1119,123,0.10991957104557641
1400000US36005044902,1296,208,0.16049382716049382
