GEO_ID,NAME,B19013_001E,B19013_001M
Geography,Geographic Area Name,Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)
1400000US36005035100,Census Tract 351; Bronx County; New York,94948,44712
1400000US36005035600,Census Tract 356; Bronx County; New York,85962,28307
1400000US36005035800,Census Tract 358; Bronx County; New York,87553,19553
1400000US36005035900,Census Tract 359; Bronx County; New York,34472,12519
1400000US36005036000,Census Tract 360; Bronx County; New York,85708,15340
1400000US36005036100,Census Tract 361; Bronx County; New York,29250,20424
1400000US36005036300,Census Tract 363; Bronx County; New York,27273,10637
1400000US36005036400,Census Tract 364; Bronx County; New York,64850,21548
1400000US36005036501,Census Tract 365.01; Bronx County; New York,47739,6406
1400000US36005036502,Census Tract 365.02; Bronx County; New York,27110,9637
1400000US36005036700,Census Tract 367; Bronx County; New York,27465,9457
1400000US36005036800,Census Tract 368; Bronx County; New York,65781,28858
1400000US36005036901,Census Tract 369.01; Bronx County; New York,16232,7229
1400000US36005036902,Census Tract 369.02; Bronx County; New York,36484,12922
1400000US36005037000,Census Tract 370; Bronx County; New York,108523,43686
1400000US36005037100,Census Tract 371; Bronx County; New York,39932,17019
1400000US36005037200,Census Tract 372; Bronx County; New York,75224,9388
1400000US36005037300,Census Tract 373; Bronx County; New York,50000,17648
1400000US36005037400,Census Tract 374; Bronx County; New York,35785,11843
1400000US36005037504,Census Tract 375.04; Bronx County; New York,40219,14692
1400000US36005037600,Census Tract 376; Bronx County; New York,60288,11556
1400000US36005037800,Census Tract 378; Bronx County; New York,65964,20623
1400000US36005037900,Census Tract 379; Bronx County; New York,50250,20573
1400000US36005038000,Census Tract 380; Bronx County; New York,48073,9315
1400000US36005038100,Census Tract 381; Bronx County; New York,42015,11336
1400000US36005038200,Census Tract 382; Bronx County; New York,83125,41013
1400000US36005038301,Census Tract 383.01; Bronx County; New York,44040,13828
1400000US36005038303,Census Tract 383.03; Bronx County; New York,45258,13001
1400000US36005038304,Census Tract 383.04; Bronx County; New York,26842,15741
1400000US36005038500,Census Tract 385; Bronx County; New York,13554,4996
1400000US36005038600,Census Tract 386; Bronx County; New York,68481,20490
1400000US36005038700,Census Tract 387; Bronx County; New York,44982,16942
1400000US36005038800,Census Tract 388; Bronx County; New York,61000,12346
1400000US36005038900,Census Tract 389; Bronx County; New York,46471,15999
1400000US36005039000,Census Tract 390; Bronx County; New York,56563,32850
1400000US36005039100,Census Tract 391; Bronx County; New York,34663,16083
1400000US36005039200,Census Tract 392; Bronx County; New York,67917,14383
1400000US36005039300,Census Tract 393; Bronx County; New York,27776,8262
1400000US36005039400,Census Tract 394; Bronx County; New York,60373,20175
1400000US36005039500,Census Tract 395; Bronx County; New York,21674,19537
1400000US36005039600,Census Tract 396; Bronx County; New York,48798,10847
1400000US36005039700,Census Tract 397; Bronx County; New York,31964,22875
1400000US36005039800,Census Tract 398; Bronx County; New York,28491,18330
1400000US36005039901,Census Tract 399.01; Bronx County; New York,43503,2913
1400000US36005039902,Census Tract 399.02; Bronx County; New York,43491,13184
1400000US36005040100,Census Tract 401; Bronx County; New York,28649,6075
1400000US36005040302,Census Tract 403.02; Bronx County; New York,37756,21201
1400000US36005040303,Census Tract 403.03; Bronx County; New York,42750,8465
1400000US36005040304,Census Tract 403.04; Bronx County; New York,36913,6312
1400000US36005040400,Census Tract 404; Bronx County; New York,65451,22535
1400000US36005040501,Census Tract 405.01; Bronx County; New York,42386,12281
1400000US36005040502,Census Tract 405.02; Bronx County; New York,38884,8509
1400000US36005040600,Census Tract 406; Bronx County; New York,48857,8159
1400000US36005040701,Census Tract 407.01; Bronx County; New York,46188,12572
1400000US36005040702,Census Tract 407.02; Bronx County; New York,33946,6901
1400000US36005040800,Census Tract 408; Bronx County; New York,41555,11228
1400000US36005040900,Census Tract 409; Bronx County; New York,67793,20545
1400000US36005041100,Census Tract 411; Bronx County; New York,54219,28425
1400000US36005041300,Census Tract 413; Bronx County; New York,60254,17231
1400000US36005041400,Census Tract 414; Bronx County; New York,125302,68907
1400000US36005041500,Census Tract 415; Bronx County; New York,50579,16999
1400000US36005041800,Census Tract 418; Bronx County; New York,62567,11750
1400000US36005041900,Census Tract 419; Bronx County; New York,57079,14216
1400000US36005042000,Census Tract 420; Bronx County; New York,31776,16156
1400000US36005042100,Census Tract 421; Bronx County; New York,52824,17933
1400000US36005042200,Census Tract 422; Bronx County; New York,75201,35545
1400000US36005042300,Census Tract 423; Bronx County; New York,71422,22746
